Day,Hour,Weekend,Weather,Temperature,Humidity,Cloudiness,Event,Holiday,Festival,Season,Offer,Footfall,CrowdDensity,Ratings,Cuisine,Traffic,Parking,ParkingDistance_m,NearbyAttractions,AirQuality_AQI,User_Max_Crowd,User_Noise_Tolerance,User_Preferred_Temp,User_Preferred_Humidity,User_Accessibility,User_Seating,Comfort
Friday,11,0,Cloudy,22.9,32.3,Partly Cloudy,0,0,0,Monsoon,1,27,Medium,4.6,SouthIndian,Low,Available,119.1,Mall,192,52,High,26.3,36.3,Yes,Booth,Moderate
Friday,20,0,Rainy,27.9,83.4,Overcast,0,0,0,Monsoon,1,44,High,4.3,Italian,Low,Limited,99.2,Mall,73,59,Low,23.1,62.8,Yes,Indoor,Overloaded
Monday,15,0,Normal,32.2,49.9,Cloudy,0,0,0,Winter,0,25,Medium,4.3,Chinese,Medium,Available,27.3,None,175,22,Low,22.6,33.3,No,Booth,Moderate
Friday,17,0,Normal,24.0,44.3,Cloudy,0,0,0,Summer,0,33,Medium,5.0,SouthIndian,Medium,Available,103.0,Cinema,171,48,High,22.2,64.0,No,Outdoor,Moderate
Tuesday,17,0,Rainy,26.0,74.7,Sunny,0,0,0,Winter,1,33,Medium,3.7,SouthIndian,Low,Available,75.1,Park,148,35,High,23.3,33.8,No,Indoor,Moderate
Saturday,18,1,Normal,25.6,85.3,Cloudy,0,0,0,Monsoon,1,41,High,4.8,FastFood,Low,Available,108.2,None,62,20,Low,26.8,63.2,No,Indoor,Overloaded
Saturday,14,1,Hot,26.1,83.8,Sunny,0,1,0,Summer,0,37,Medium,4.5,SouthIndian,Medium,Available,130.0,Office,91,38,High,25.3,61.3,Yes,Outdoor,Noisy
Saturday,13,1,Normal,28.5,31.2,Overcast,0,0,0,Summer,0,27,Medium,3.7,Chinese,Medium,Full,57.8,Office,194,26,High,29.1,44.9,No,Window,Noisy
Friday,8,0,Normal,34.9,79.0,Sunny,0,0,0,Summer,0,21,Medium,4.4,Chinese,High,Available,61.0,None,67,37,High,27.5,41.8,Yes,Window,Overloaded
Thursday,15,0,Normal,23.4,48.2,Cloudy,0,0,0,Monsoon,0,31,Medium,4.6,Italian,Low,Limited,61.5,Office,117,35,Low,27.9,56.5,Yes,Outdoor,Moderate
Tuesday,21,0,Normal,30.3,46.8,Partly Cloudy,0,0,0,Monsoon,1,37,Medium,4.9,Cafe,High,Available,64.9,Office,55,37,Low,25.8,65.3,Yes,Window,Noisy
Thursday,13,0,Hot,32.7,59.5,Partly Cloudy,0,0,0,Monsoon,1,28,Medium,4.7,Cafe,Low,Available,107.6,School,151,19,Low,25.0,58.4,Yes,Indoor,Moderate
Friday,10,0,Hot,29.8,71.8,Overcast,0,0,0,Summer,0,18,Low,4.4,Bakery,Low,Limited,69.5,Mall,184,15,Low,26.9,51.5,Yes,Outdoor,Calm
Wednesday,15,0,Rainy,32.9,35.9,Cloudy,1,0,0,Summer,0,40,High,3.8,Cafe,Medium,Available,182.1,Mall,186,32,Low,28.9,64.8,No,Outdoor,Noisy
Sunday,11,1,Normal,31.4,82.1,Overcast,0,0,0,Monsoon,0,24,Medium,3.6,Italian,Low,Full,182.4,School,117,47,Low,23.3,51.7,Yes,Indoor,Overloaded
Sunday,13,1,Normal,21.4,38.1,Sunny,0,0,0,Monsoon,1,29,Medium,3.7,Chinese,Low,Available,117.5,Mall,67,14,Low,28.0,51.4,Yes,Indoor,Moderate
Monday,20,0,Normal,25.7,88.5,Overcast,0,1,0,Monsoon,0,46,High,4.8,FastFood,High,Available,76.2,Cinema,99,43,Low,26.2,69.7,No,Window,Overloaded
Sunday,12,1,Rainy,28.3,56.6,Partly Cloudy,1,1,0,Monsoon,0,51,High,4.3,Chinese,High,Available,68.2,Park,100,25,Low,23.0,41.9,No,Outdoor,Overloaded
Sunday,13,1,Rainy,20.8,79.5,Overcast,0,0,0,Winter,0,33,Medium,3.9,Chinese,Low,Available,166.9,Mall,101,18,Low,28.3,30.3,No,Window,Noisy
Tuesday,12,0,Normal,20.1,46.2,Sunny,0,1,0,Winter,0,36,Medium,3.7,FastFood,Low,Available,108.4,School,166,54,Low,24.1,60.5,No,Window,Moderate
Saturday,22,1,Rainy,22.6,55.0,Cloudy,0,0,0,Summer,0,56,High,3.5,FastFood,High,Available,88.2,None,109,40,Low,28.7,34.4,No,Indoor,Overloaded
Thursday,17,0,Normal,27.5,68.7,Overcast,1,0,0,Winter,0,39,Medium,4.3,Cafe,Low,Limited,60.1,Cinema,72,11,Low,27.9,43.1,No,Window,Moderate
Wednesday,19,0,Normal,26.5,41.3,Sunny,0,1,0,Monsoon,0,40,High,4.1,SouthIndian,Low,Limited,90.5,Park,83,12,High,28.6,52.3,No,Indoor,Noisy
Wednesday,22,0,Normal,31.8,42.7,Partly Cloudy,0,0,1,Monsoon,1,41,High,4.9,Cafe,Low,Available,135.2,Office,130,13,High,22.5,32.3,No,Window,Noisy
Tuesday,12,0,Hot,28.5,79.4,Cloudy,0,0,0,Winter,1,30,Medium,3.9,Cafe,Low,Available,156.0,Mall,141,27,Medium,25.1,42.4,Yes,Outdoor,Noisy
Tuesday,16,0,Normal,32.9,74.5,Overcast,1,0,0,Winter,0,40,High,4.2,SouthIndian,Low,Limited,179.2,School,93,35,Medium,23.3,42.2,Yes,Outdoor,Noisy
Sunday,8,1,Normal,21.4,75.6,Overcast,1,0,0,Monsoon,0,34,Medium,3.8,Chinese,High,Available,36.5,Office,101,36,Medium,26.5,35.3,No,Indoor,Overloaded
Wednesday,16,0,Normal,27.9,82.0,Partly Cloudy,0,0,0,Summer,0,28,Medium,3.9,Chinese,Low,Available,156.3,Cinema,138,37,Medium,28.4,63.5,No,Indoor,Noisy
Monday,11,0,Rainy,20.6,79.3,Overcast,0,0,0,Winter,0,24,Medium,4.8,Cafe,Medium,Limited,66.1,Mall,152,16,Low,23.6,30.0,Yes,Window,Noisy
Monday,9,0,Normal,23.2,60.9,Partly Cloudy,0,0,0,Winter,0,19,Low,3.9,Bakery,Medium,Full,140.5,Mall,77,29,Low,22.9,61.8,Yes,Outdoor,Comfortable
Thursday,11,0,Rainy,33.0,39.5,Partly Cloudy,0,0,0,Summer,1,33,Medium,4.4,Cafe,Low,Full,78.7,School,169,31,Low,25.9,37.1,No,Indoor,Noisy
Monday,19,0,Normal,33.3,48.7,Cloudy,0,0,0,Summer,1,31,Medium,4.2,Italian,Medium,Limited,113.1,Cinema,189,50,High,26.0,67.1,No,Booth,Moderate
Wednesday,14,0,Normal,27.1,60.4,Partly Cloudy,0,0,0,Winter,0,33,Medium,4.5,Bakery,Medium,Available,71.0,Cinema,70,47,High,24.9,66.6,No,Booth,Moderate
Sunday,15,1,Rainy,20.7,38.1,Partly Cloudy,0,0,1,Winter,0,41,High,3.7,FastFood,Low,Limited,161.6,None,168,11,High,26.5,49.9,No,Booth,Noisy
Wednesday,16,0,Normal,21.1,81.1,Partly Cloudy,1,0,0,Winter,1,34,Medium,3.7,Chinese,Medium,Available,120.5,None,52,58,High,24.9,55.5,Yes,Outdoor,Noisy
Friday,20,0,Normal,33.9,82.8,Overcast,0,0,1,Winter,0,38,Medium,3.5,Italian,Low,Limited,42.9,Office,102,14,High,28.7,49.2,Yes,Window,Noisy
Wednesday,11,0,Normal,33.5,31.7,Partly Cloudy,1,0,0,Summer,1,27,Medium,3.7,Chinese,Medium,Limited,147.7,Mall,92,60,High,28.7,63.3,No,Booth,Moderate
Sunday,19,1,Normal,28.5,41.6,Partly Cloudy,0,0,0,Monsoon,1,46,High,4.6,Cafe,Low,Limited,176.5,Park,76,17,Medium,29.3,50.8,Yes,Outdoor,Noisy
Monday,15,0,Normal,20.5,80.0,Partly Cloudy,0,0,0,Winter,0,25,Medium,3.9,Bakery,Low,Available,131.3,None,70,13,High,25.7,61.0,Yes,Window,Noisy
Saturday,18,1,Normal,33.9,80.2,Partly Cloudy,0,0,1,Winter,1,42,High,4.3,Chinese,Medium,Full,49.1,School,91,38,Medium,28.0,68.4,Yes,Window,Overloaded
Thursday,19,0,Normal,24.7,45.0,Overcast,0,0,0,Winter,0,36,Medium,4.5,Bakery,Medium,Available,160.1,Cinema,50,47,Low,29.1,55.5,No,Outdoor,Moderate
Friday,15,0,Hot,34.4,57.4,Partly Cloudy,1,0,0,Winter,1,32,Medium,3.8,Chinese,Low,Full,167.8,Office,147,41,Low,25.1,41.3,No,Outdoor,Noisy
Monday,15,0,Normal,28.8,85.1,Sunny,0,0,0,Winter,0,25,Medium,4.2,FastFood,Low,Available,44.8,None,78,52,High,27.6,64.8,Yes,Indoor,Noisy
Thursday,20,0,Normal,31.3,72.3,Sunny,0,0,0,Monsoon,1,42,High,3.9,Italian,Medium,Available,133.0,None,106,39,Low,29.4,60.0,Yes,Outdoor,Noisy
Monday,8,0,Hot,30.7,46.4,Sunny,0,0,0,Summer,0,19,Low,3.7,Chinese,Medium,Available,104.4,None,158,17,Medium,22.7,61.0,No,Window,Calm
Friday,9,0,Rainy,26.0,79.4,Cloudy,0,0,1,Summer,1,31,Medium,4.4,Bakery,High,Available,56.7,Mall,110,26,Low,26.1,34.8,No,Window,Overloaded
Wednesday,12,0,Hot,21.2,60.3,Sunny,0,0,0,Monsoon,0,23,Medium,4.1,Italian,Medium,Limited,102.0,Park,181,12,Medium,25.1,47.4,Yes,Indoor,Moderate
Sunday,11,1,Hot,22.4,68.1,Sunny,0,0,1,Summer,1,32,Medium,3.9,Cafe,Low,Available,61.4,Office,131,11,Medium,24.9,35.2,Yes,Outdoor,Moderate
Saturday,14,1,Normal,23.6,37.4,Cloudy,0,1,0,Monsoon,1,41,High,4.1,Chinese,High,Full,118.0,Park,83,57,Low,24.4,41.8,No,Indoor,Overloaded
Friday,19,0,Cloudy,32.5,31.8,Overcast,0,0,0,Monsoon,1,36,Medium,4.7,SouthIndian,High,Full,112.1,School,169,51,Medium,24.3,37.2,Yes,Window,Overloaded
Sunday,11,1,Normal,25.8,52.3,Overcast,0,0,0,Summer,0,33,Medium,4.2,SouthIndian,Medium,Limited,37.8,Mall,176,26,Low,28.1,54.4,No,Booth,Moderate
Wednesday,12,0,Normal,33.4,65.6,Cloudy,0,0,0,Winter,1,28,Medium,4.7,Chinese,Medium,Available,125.1,Mall,189,47,High,24.0,58.6,Yes,Booth,Moderate
Friday,18,0,Cloudy,25.0,40.7,Overcast,1,0,0,Monsoon,0,44,High,3.7,Chinese,Medium,Available,58.0,Cinema,196,25,Low,27.2,47.4,Yes,Indoor,Noisy
Tuesday,17,0,Cloudy,31.3,82.2,Cloudy,0,0,0,Monsoon,0,33,Medium,3.9,Cafe,Low,Limited,193.6,Cinema,138,44,High,25.5,35.8,No,Booth,Noisy
Saturday,13,1,Rainy,22.1,65.2,Partly Cloudy,0,0,0,Winter,0,35,Medium,3.7,Cafe,High,Available,164.5,Office,146,59,Medium,25.5,33.0,Yes,Booth,Noisy
Monday,15,0,Rainy,34.8,51.0,Overcast,0,0,0,Winter,1,31,Medium,4.1,FastFood,Low,Available,196.9,Cinema,81,45,Medium,29.8,37.3,No,Booth,Moderate
Monday,16,0,Hot,30.9,39.8,Cloudy,0,0,0,Summer,0,36,Medium,4.4,Italian,High,Limited,10.6,School,98,14,High,27.5,42.2,No,Outdoor,Noisy
Saturday,16,1,Normal,27.5,83.7,Partly Cloudy,0,0,0,Monsoon,1,42,High,3.6,FastFood,Low,Available,45.9,Mall,105,55,Low,26.8,32.6,No,Outdoor,Overloaded
Tuesday,13,0,Normal,34.6,74.9,Partly Cloudy,0,0,0,Summer,1,24,Medium,4.5,Chinese,Low,Available,187.5,Park,164,46,High,23.5,41.4,No,Outdoor,Moderate
Sunday,14,1,Normal,20.8,71.3,Sunny,0,0,0,Winter,0,35,Medium,4.5,Bakery,Low,Available,186.3,None,69,58,Low,23.8,54.5,No,Outdoor,Moderate
Wednesday,19,0,Normal,26.6,47.1,Cloudy,0,0,0,Monsoon,0,31,Medium,4.2,Cafe,Low,Limited,96.4,School,189,54,High,25.3,51.3,Yes,Booth,Comfortable
Monday,16,0,Hot,32.6,53.2,Cloudy,0,0,0,Winter,0,27,Medium,4.9,FastFood,Medium,Available,198.3,School,125,55,High,22.1,61.8,Yes,Window,Moderate
Sunday,13,1,Rainy,25.1,39.8,Sunny,1,0,0,Winter,1,46,High,4.0,SouthIndian,Low,Full,120.9,Park,128,50,Low,27.2,34.5,Yes,Indoor,Overloaded
Tuesday,13,0,Hot,31.5,64.3,Overcast,0,1,0,Summer,1,35,Medium,3.7,Cafe,Low,Available,62.6,Cinema,117,54,Medium,25.0,59.3,Yes,Window,Moderate
Sunday,19,1,Cloudy,34.3,87.9,Cloudy,0,0,0,Summer,0,42,High,4.8,Bakery,Low,Available,117.8,None,62,27,Medium,25.6,67.5,No,Indoor,Overloaded
Monday,15,0,Normal,26.0,81.4,Partly Cloudy,1,1,0,Summer,0,35,Medium,4.2,Italian,Low,Limited,47.8,Office,93,46,Medium,23.0,66.7,No,Outdoor,Noisy
Thursday,12,0,Hot,31.6,68.8,Cloudy,0,0,0,Winter,0,23,Medium,3.5,FastFood,Medium,Available,19.7,Mall,198,10,High,23.4,52.7,No,Window,Moderate
Wednesday,12,0,Normal,20.4,70.7,Sunny,0,0,1,Summer,0,33,Medium,3.7,Chinese,Low,Available,91.3,None,132,30,High,23.1,64.5,No,Booth,Moderate
Thursday,12,0,Rainy,24.1,46.1,Cloudy,0,1,0,Monsoon,0,36,Medium,4.3,Italian,High,Available,196.5,Mall,62,25,Low,29.1,64.6,Yes,Window,Noisy
Saturday,11,1,Rainy,34.9,54.6,Overcast,0,0,0,Winter,1,36,Medium,4.8,SouthIndian,Low,Available,123.1,None,86,52,Low,22.9,33.6,Yes,Booth,Moderate
Sunday,9,1,Normal,27.4,31.2,Sunny,0,0,0,Winter,0,25,Medium,3.8,FastFood,Medium,Available,100.5,Cinema,151,55,Medium,24.4,64.5,Yes,Window,Moderate
Wednesday,19,0,Normal,25.3,76.8,Sunny,0,0,0,Summer,0,41,High,4.9,Chinese,High,Limited,83.5,Mall,125,14,Medium,23.2,47.9,Yes,Indoor,Overloaded
Tuesday,11,0,Normal,34.1,76.1,Partly Cloudy,0,0,0,Winter,1,24,Medium,4.3,Chinese,Medium,Available,32.7,None,180,30,Medium,23.7,63.0,Yes,Window,Noisy
Wednesday,13,0,Normal,26.5,30.5,Cloudy,0,0,0,Monsoon,0,26,Medium,4.3,Cafe,Low,Available,44.4,School,61,60,High,25.3,46.3,Yes,Window,Moderate
Wednesday,9,0,Normal,30.2,84.7,Sunny,1,0,0,Summer,1,25,Medium,3.8,Bakery,Medium,Available,78.7,Office,74,21,Medium,23.1,54.4,Yes,Outdoor,Noisy
Tuesday,19,0,Rainy,29.9,68.8,Overcast,0,1,1,Monsoon,1,56,High,3.7,Bakery,Low,Available,162.2,Office,160,12,High,28.6,69.1,No,Outdoor,Overloaded
Saturday,16,1,Normal,21.3,66.1,Overcast,0,0,0,Summer,1,41,High,4.5,Italian,Medium,Limited,20.4,Office,120,26,Low,24.7,41.1,Yes,Window,Noisy
Wednesday,20,0,Rainy,29.3,30.5,Overcast,0,0,0,Summer,0,40,High,4.3,Bakery,Low,Limited,171.0,Office,122,49,Low,27.2,57.6,Yes,Booth,Overloaded
Saturday,19,1,Cloudy,32.0,45.1,Partly Cloudy,0,0,0,Winter,0,36,Medium,4.2,Cafe,Low,Limited,62.7,None,63,48,Low,27.6,33.9,No,Booth,Moderate
Saturday,10,1,Normal,30.7,78.3,Overcast,0,0,0,Winter,0,28,Medium,4.8,Bakery,Low,Full,114.2,Mall,110,42,Low,24.1,36.4,No,Outdoor,Overloaded
Saturday,11,1,Hot,21.2,48.3,Partly Cloudy,1,0,0,Summer,0,33,Medium,3.7,SouthIndian,Medium,Available,61.0,None,165,12,High,23.2,57.9,Yes,Booth,Moderate
Monday,11,0,Hot,22.3,88.0,Overcast,0,0,0,Monsoon,0,27,Medium,4.7,Italian,Low,Limited,158.9,Office,102,47,Low,27.4,34.4,Yes,Outdoor,Noisy
Friday,19,0,Hot,30.7,68.6,Cloudy,1,0,0,Monsoon,0,45,High,4.5,Chinese,Medium,Available,185.9,Office,114,29,Medium,28.8,52.0,Yes,Indoor,Noisy
Saturday,15,1,Normal,29.5,55.4,Overcast,0,0,0,Summer,0,34,Medium,4.9,Cafe,Low,Limited,140.5,Office,76,51,Medium,27.1,32.3,Yes,Window,Moderate
Tuesday,12,0,Normal,31.1,52.6,Overcast,0,0,1,Monsoon,1,30,Medium,3.6,Italian,Low,Available,48.9,Office,151,48,Low,29.6,65.0,Yes,Booth,Moderate
Friday,19,0,Normal,24.8,50.9,Partly Cloudy,1,0,0,Monsoon,1,41,High,4.8,SouthIndian,Medium,Available,179.3,Office,170,41,Low,26.3,46.9,Yes,Booth,Noisy
Saturday,17,1,Rainy,21.6,45.1,Cloudy,0,0,0,Winter,0,41,High,4.2,Cafe,High,Available,117.6,School,186,35,Medium,25.9,30.8,Yes,Outdoor,Overloaded
Tuesday,20,0,Hot,20.1,58.0,Cloudy,0,0,0,Summer,1,41,High,4.9,Cafe,Low,Limited,11.9,Park,77,60,Medium,29.9,57.5,No,Outdoor,Noisy
Tuesday,16,0,Rainy,24.6,70.6,Partly Cloudy,0,1,0,Winter,0,38,Medium,4.4,Cafe,Low,Available,74.1,Mall,86,48,Medium,29.6,36.7,Yes,Window,Moderate
Thursday,17,0,Normal,25.4,79.5,Cloudy,0,0,0,Monsoon,0,29,Medium,3.8,FastFood,Low,Limited,128.6,None,168,43,High,26.9,30.1,No,Window,Noisy
Thursday,12,0,Hot,24.0,53.8,Overcast,0,0,0,Winter,1,29,Medium,4.6,Chinese,Low,Limited,62.7,Park,177,41,High,27.9,30.2,No,Outdoor,Moderate
Wednesday,9,0,Normal,22.0,36.1,Overcast,1,0,0,Monsoon,0,21,Medium,4.3,Cafe,Medium,Limited,91.7,Office,181,50,Medium,29.4,67.4,No,Window,Moderate
Saturday,21,1,Hot,22.8,60.7,Cloudy,1,1,0,Monsoon,1,59,High,4.5,FastFood,Low,Available,53.8,Cinema,93,24,Medium,23.2,59.9,Yes,Window,Noisy
Saturday,11,1,Hot,26.7,69.7,Overcast,1,0,0,Monsoon,0,37,Medium,3.9,Bakery,High,Available,127.5,Office,97,51,Low,23.9,51.6,Yes,Indoor,Noisy
Friday,12,0,Normal,28.3,80.6,Cloudy,0,0,0,Monsoon,1,22,Medium,4.5,Italian,Low,Available,118.4,Mall,69,14,Medium,24.5,37.7,Yes,Booth,Noisy
Tuesday,11,0,Cloudy,26.1,52.5,Partly Cloudy,0,1,0,Monsoon,1,32,Medium,4.4,Chinese,Medium,Available,60.7,Mall,53,22,Low,28.6,45.8,Yes,Outdoor,Moderate
Saturday,13,1,Rainy,20.4,68.8,Partly Cloudy,0,0,0,Winter,0,41,High,4.4,Cafe,Medium,Available,115.0,None,91,39,High,22.7,64.9,Yes,Outdoor,Noisy
Wednesday,10,0,Rainy,25.3,66.5,Partly Cloudy,0,0,0,Monsoon,1,29,Medium,4.4,FastFood,High,Available,169.7,None,73,47,Low,26.8,30.2,Yes,Outdoor,Noisy
Sunday,12,1,Rainy,21.4,47.9,Sunny,0,0,0,Winter,0,36,Medium,4.7,Cafe,Low,Available,38.8,Office,175,38,Medium,27.5,55.3,No,Outdoor,Moderate
Sunday,8,1,Cloudy,29.0,36.5,Overcast,0,0,0,Monsoon,0,30,Medium,3.6,FastFood,Low,Available,115.2,School,200,53,Medium,24.1,43.1,Yes,Window,Moderate
Sunday,19,1,Rainy,24.9,33.8,Partly Cloudy,0,0,0,Summer,1,46,High,3.5,Chinese,Medium,Limited,70.2,None,187,17,High,23.6,37.2,No,Indoor,Overloaded
Monday,16,0,Normal,25.8,89.3,Cloudy,0,0,0,Summer,0,35,Medium,4.6,Bakery,Low,Available,51.8,School,96,36,Medium,24.7,39.8,Yes,Indoor,Noisy
Tuesday,10,0,Normal,24.4,68.4,Cloudy,0,0,0,Monsoon,0,21,Medium,3.8,SouthIndian,Low,Limited,163.1,None,76,34,Medium,23.9,51.2,Yes,Outdoor,Moderate
Sunday,12,1,Normal,25.8,81.7,Partly Cloudy,0,1,0,Monsoon,1,35,Medium,4.5,Cafe,Medium,Available,166.8,Park,99,48,Medium,23.1,39.4,Yes,Window,Noisy
Monday,8,0,Normal,21.3,45.7,Partly Cloudy,0,0,0,Monsoon,0,19,Low,4.2,Chinese,Low,Limited,48.6,Office,116,45,Low,29.7,58.4,No,Booth,Calm
Sunday,8,1,Normal,33.5,72.7,Partly Cloudy,1,0,0,Summer,0,30,Medium,4.5,FastFood,Low,Available,127.1,None,182,57,Low,29.9,67.4,Yes,Outdoor,Moderate
Wednesday,16,0,Normal,33.6,83.5,Cloudy,0,0,0,Winter,0,33,Medium,4.0,Bakery,High,Available,191.3,Mall,157,28,Low,29.6,52.1,Yes,Window,Overloaded
Thursday,12,0,Rainy,34.7,47.9,Sunny,1,0,1,Winter,0,42,High,3.8,Chinese,Low,Available,27.3,Office,93,16,High,29.8,36.5,Yes,Booth,Noisy
Wednesday,19,0,Normal,28.6,39.0,Partly Cloudy,0,0,0,Summer,0,33,Medium,4.7,Chinese,Low,Limited,150.7,Park,196,36,Medium,23.5,46.7,No,Outdoor,Moderate
Monday,10,0,Normal,22.5,75.9,Cloudy,1,0,0,Winter,0,25,Medium,4.9,FastFood,Medium,Available,195.9,Park,189,34,Medium,24.9,62.4,Yes,Booth,Noisy
Tuesday,18,0,Normal,25.7,84.0,Cloudy,0,0,0,Monsoon,1,39,Medium,4.7,Chinese,Low,Available,61.2,Mall,137,16,Medium,22.5,36.8,No,Outdoor,Noisy
Friday,21,0,Hot,22.1,78.3,Partly Cloudy,0,0,0,Monsoon,0,44,High,3.7,Chinese,Medium,Available,102.4,Office,175,19,Low,26.3,61.1,No,Window,Overloaded
Saturday,20,1,Normal,24.5,78.1,Overcast,0,0,1,Monsoon,0,48,High,4.8,FastFood,Low,Limited,28.2,School,162,23,High,23.8,60.7,Yes,Outdoor,Overloaded
Wednesday,15,0,Cloudy,27.4,66.0,Cloudy,1,1,0,Winter,0,37,Medium,4.6,Bakery,Low,Available,170.6,Mall,109,41,Low,24.1,32.5,No,Indoor,Moderate
Tuesday,9,0,Cloudy,20.9,69.6,Overcast,0,0,0,Winter,1,17,Low,4.1,Cafe,Low,Full,52.0,Cinema,159,28,High,23.6,48.0,Yes,Indoor,Moderate
Saturday,21,1,Rainy,26.5,70.8,Overcast,0,0,0,Winter,0,51,High,5.0,SouthIndian,Low,Available,97.3,Office,109,13,Low,28.5,51.4,No,Outdoor,Overloaded
Thursday,8,0,Rainy,26.3,73.3,Sunny,0,0,0,Monsoon,1,29,Medium,4.9,Chinese,Low,Full,41.5,None,188,41,Medium,28.5,47.3,No,Outdoor,Noisy
Thursday,17,0,Normal,27.3,69.3,Cloudy,0,0,0,Winter,1,35,Medium,3.6,Bakery,Low,Limited,43.0,Park,112,40,Low,23.9,62.9,Yes,Outdoor,Moderate
Saturday,12,1,Rainy,21.2,89.8,Sunny,0,0,0,Monsoon,0,31,Medium,3.9,FastFood,Low,Limited,51.9,Mall,79,46,Medium,22.6,60.3,No,Window,Noisy
Thursday,15,0,Hot,23.8,45.6,Partly Cloudy,0,0,0,Winter,0,30,Medium,3.6,Bakery,Medium,Limited,30.4,Mall,181,27,High,28.7,67.3,No,Indoor,Moderate
